Subject,Time,A_FILL_LOSE_FILL_b,A_FILL_LOSE_FILL_r,A_FILL_LOSE_FILL_y,A_FILL_LOSE_FILL_b2,A_FILL_LOSE_FILL_r2,A_FILL_LOSE_FILL_y2,A_FILL_LOSE_FILL_b3,A_FILL_LOSE_FILL_r3,ALMO_FILL_LOSE_y3,A_FILL_LOSE_FILL_b4,ALMO_FILL_LOSE_r4,A_FILL_LOSE_FILL_y4,A_FILL_LOSE_FILL_b5,A_FILL_LOSE_FILL_r5,A_FILL_LOSE_FILL_y5,A_FILL_LOSE_FILL_r6,A_FILL_LOSE_FILL_y6,A_FILL_LOSE_FILL_b6,A_FILL_WIN_FILL_b,A_FILL_WIN_FILL_r,A_FILL_WIN_FILL_y,A_FILL_WIN_FILL_y2,A_FILL_WIN_FILL_b2,A_FILL_WIN_FILL_r2,A_FILL_WIN_FILL_b3,A_FILL_WIN_FILL_r3,A_FILL_WIN_FILL_y3,A_FILL_WIN_FILL_r4,A_FILL_WIN_FILL_y4,A_FILL_WIN_FILL_b4,A_q_d_n_b,A_FILL_LOSE_TAR_b,A_q_d_n_r,A_FILL_LOSE_TAR_r,A_q_d_n_y,A_FILL_LOSE_TAR_y,A_q_d_f_b,A_FILL_LOSE_TAR_b2,A_q_d_f_r,A_FILL_LOSE_TAR_r2,A_q_d_f_y,A_FILL_LOSE_TAR_y2,A_q_c_n_b,A_FILL_LOSE_TAR_b3,A_q_c_n_r,A_FILL_LOSE_TAR_r3,A_q_c_n_y,A_FILL_LOSE_TAR_y3,A_q_c_f_b,A_FILL_LOSE_TAR_b4,A_q_c_f_r,A_FILL_LOSE_TAR_r4,A_q_c_f_y,A_FILL_LOSE_TAR_Y4,A_s_d_n_b,A_FILL_LOSE_TAR_b5,A_s_d_n_r,A_FILL_LOSE_TAR_r5,A_s_d_n_y,A_FILL_LOSE_TAR_y5,A_s_d_f_b,A_FILL_LOSE_TAR_b6,A_s_d_f_r,A_FILL_LOSE_TAR_r6,A_s_d_f_y,A_FILL_LOSE_TAR_y6,A_s_c_n_b,A_FILL_LOSE_TAR_b7,A_s_c_n_r,A_FILL_LOSE_TAR_r7,A_s_c_n_y,A_FILL_LOSE_TAR_y7,A_s_c_f_b,A_FILL_LOSE_TAR_b8,A_s_c_f_r,A_FILL_LOSE_TAR_r8,A_s_c_f_y,A_FILL_LOSE_TAR_y8,B_FILL_LOSE_FILL_b,B_FILL_LOSE_FILL_r,B_FILL_LOSE_FILL_y,B_FILL_LOSE_FILL_b2,B_FILL_LOSE_FILL_r2,B_FILL_LOSE_FILL_y2,B_FILL_LOSE_FILL_b3,B_FILL_LOSE_FILL_r3,B_FILL_LOSE_FILL_y3,B_FILL_LOSE_FILL_b4,B_FILL_LOSE_FILL_r4,B_FILL_LOSE_FILL_y4,B_FILL_LOSE_FILL_b5,B_FILL_LOSE_FILL_r5,B_FILL_LOSE_FILL_y5,B_FILL_LOSE_FILL_r6,B_FILL_LOSE_FILL_y6,B_FILL_LOSE_FILL_b6,B_FILL_WIN_FILL_b,B_FILL_WIN_FILL_r,B_FILL_WIN_FILL_y,B_FILL_WIN_FILL_b2,B_FILL_WIN_FILL_r2,B_FILL_WIN_FILL_y2,B_FILL_WIN_FILL_b3,B_FILL_WIN_FILL_r3,B_FILL_WIN_FILL_y3,B_FILL_WIN_FILL_b4,B_FILL_WIN_FILL_r4,B_FILL_WIN_FILL_y4,B_q_d_n_b,B_FILL_LOSE_TAR_b,B_q_d_n_r,B_FILL_LOSE_TAR_r,B_q_d_n_y,B_FILL_LOSE_TAR_y,B_q_d_f_b,B_FILL_LOSE_TAR_b2,B_q_d_f_r,B_FILL_LOSE_TAR_r2,B_q_d_f_y,B_FILL_LOSE_TAR_y2,B_q_c_n_b,B_FILL_LOSE_TAR_b3,B_q_c_n_r,B_FILL_LOSE_TAR_r3,B_q_c_n_y,B_FILL_LOSE_TAR_y3,B_q_c_f_b,B_FILL_LOSE_TAR_b4,B_q_c_f_r,B_FILL_LOSE_TAR_r4,B_q_c_f_y,B_FILL_LOSE_TAR_y4,B_s_d_n_b,B_FILL_LOSE_TAR_b5,B_s_d_n_r,B_FILL_LOSE_TAR_r5,B_s_d_n_y,B_FILL_LOSE_TAR_y5,B_s_d_f_b,B_FILL_LOSE_TAR_b6,B_s_d_f_r,B_FILL_LOSE_TAR_r6,B_s_c_n_b,B_FILL_LOSE_TAR_b7,B_s_d_f_y,B_FILL_LOSE_TAR_y6,B_s_c_n_r,B_FILL_LOSE_TAR_r7,B_s_c_n_y,B_FILL_LOSE_TAR_y7,B_s_c_f_b,B_FILL_LOSE_TAR_b8,B_s_c_f_r,B_FILL_LOSE_TAR_r8,B_s_c_f_y,B_FILL_LOSE_TAR_y8
73,3320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2,2,1,1,1,1,1,1,1,1,1,1,10,11,8,11,9,11,5,11,6,11,6,11,8,11,8,11,9,11,3,11,5,11,5,11,2,11,9,11,10,11,5,11,5,11,9,11,3,11,10,11,10,11,6,11,7,11,5,11
74,1445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2,1,1,1,1,2,1,2,1,2,2,3,9,11,9,11,9,7,7,11,5,11,7,11,9,11,10,11,9,11,7,11,3,11,6,11,10,11,9,11,10,11,3,11,4,9,9,11,6,11,10,11,10,11,3,11,4,11,7,11
75,1373,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2,2,2,3,1,1,1,6,1,2,2,4,10,11,9,11,9,11,7,11,8,11,8,11,9,11,9,11,9,11,4,11,5,11,6,11,11,11,9,11,10,11,7,11,8,11,7,11,9,11,9,11,9,11,4,11,7,11,5,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,1943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,3,3,5,1,2,10,1,5,2,6,3,2,9,11,9,11,9,11,7,11,6,11,4,11,8,11,8,11,9,11,6,11,5,11,7,11,9,11,9,11,9,11,10,11,7,11,10,11,7,11,9,11,9,11,6,11,7,11,8,11
77,2697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,10,10,10,10,9,10,10,10,9,10,10,7,11,8,11,7,11,9,11,8,11,8,11,9,11,8,11,8,11,9,11,9,11,9,11,7,11,7,11,9,11,8,11,10,11,6,11,9,11,9,11,9,11,8,11,10,11,8,11
78,995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1,1,1,1,1,1,2,1,1,2,1,2,9,11,9,11,9,11,4,11,5,11,3,11,9,11,10,11,9,11,6,11,5,11,3,11,9,11,9,11,10,11,4,11,3,11,9,11,4,11,9,11,8,11,4,11,2,11,4,11
79,1436,11,11,11,11,11,11,11,11,1,11,11,11,11,11,11,11,11,11,1,2,1,1,1,1,1,1,1,2,2,2,9,11,8,11,8,11,6,11,3,11,4,11,8,11,8,11,8,11,3,11,3,11,2,11,9,11,8,11,8,11,4,11,4,11,4,11,9,11,7,11,8,11,3,11,3,11,5,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,11,11,11,2,11,11,11,11,11,11,11,11,11,11,2,2,4,2,2,2,2,2,2,4,3,4,9,11,8,11,9,11,7,11,7,11,7,11,8,11,8,11,7,11,3,11,4,11,6,11,9,11,8,2,9,11,6,11,4,11,8,11,6,11,8,11,8,11,4,11,5,11,4,11
81,949,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2,1,1,2,1,1,1,1,1,1,1,2,9,11,9,11,9,11,3,11,5,11,2,11,8,11,8,11,8,11,2,11,4,11,3,11,9,11,8,11,9,11,3,11,2,11,2,11,8,11,8,11,8,11,3,11,3,11,4,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,2403,11,11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1,1,1,1,1,1,1,1,1,1,1,1,7,11,6,11,7,11,2,11,3,11,2,11,7,11,8,11,3,11,2,11,3,11,2,11,7,11,7,11,7,11,2,11,2,11,3,11,8,11,7,11,8,11,3,11,3,11,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,1373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,3,2,2,1,1,2,1,2,1,5,2,2,10,11,10,11,10,11,7,11,4,11,2,11,9,11,10,11,10,11,7,11,7,11,5,11,10,11,10,11,10,11,8,11,4,11,10,11,6,11,10,11,10,11,6,11,7,11,8,11
84,1139,11,11,11,11,11,11,7,11,11,11,11,11,11,1,11,11,11,11,1,1,1,1,1,1,1,1,1,1,1,1,9,11,8,11,4,11,4,11,1,11,5,11,3,1,7,11,7,11,3,11,3,11,2,1,8,11,8,11,7,11,1,11,1,11,3,11,8,11,7,11,8,11,3,11,2,11,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,1556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1,1,1,1,1,1,1,1,1,1,10,1,8,11,9,11,9,11,4,11,7,11,8,11,5,11,7,11,10,11,1,11,1,11,3,11,9,11,10,11,8,11,5,11,1,11,9,11,1,11,8,11,9,11,6,11,4,11,4,11
86,1303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,3,2,2,1,1,2,1,2,1,2,2,3,9,11,8,11,8,11,6,11,4,11,6,11,8,11,8,11,8,11,5,11,6,11,4,11,9,11,8,11,9,11,7,11,5,11,8,11,5,11,8,11,9,11,5,11,7,11,6,11
87,1347,1,11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1,1,10,1,1,1,1,1,1,1,1,1,10,11,10,11,8,11,1,11,2,11,1,11,9,11,1,11,2,11,1,11,1,11,1,11,10,11,10,11,10,11,1,11,1,11,2,11,1,11,9,11,1,11,1,11,1,11,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,1255,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,4,2,1,6,1,5,2,5,1,3,2,6,9,11,8,11,9,11,7,11,7,11,7,11,8,11,2,11,2,11,7,11,2,11,3,11,10,11,9,11,10,11,7,11,4,11,8,11,9,11,8,11,8,11,6,11,4,11,4,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,1471,8,4,8,7,7,3,7,4,7,8,5,7,4,11,8,6,6,8,7,7,7,9,6,7,5,8,8,8,9,6,4,7,6,7,8,7,7,8,8,9,7,8,9,5,9,6,7,8,7,7,9,8,8,6,7,9,4,8,11,7,7,4,7,8,8,6,8,6,7,8,7,4,8,8,8,7,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,1456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1,1,1,1,1,1,1,2,1,1,1,1,3,11,3,11,7,11,3,11,4,11,5,11,5,11,4,11,3,11,3,11,2,11,2,11,6,11,6,11,5,11,1,11,3,11,8,11,2,11,8,11,7,11,3,11,5,11,4,11
91,2067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,9,6,8,2,10,9,11,7,6,6,11,7,7,6,6,6,7,1,1,1,1,1,1,1,1,1,1,1,1,3,10,10,11,10,10,7,7,2,7,2,11,2,10,9,11,10,10,2,8,6,7,1,11,8,10,3,11,7,10,3,9,2,9,10,10,3,7,10,11,1,2,2,11,10,8,2,11
92,2561,11,11,11,11,11,11,11,11,1,11,11,11,11,10,11,11,11,11,1,1,1,1,1,1,1,1,1,1,1,1,2,10,1,11,1,10,1,11,1,11,2,11,1,11,1,11,1,10,1,11,1,1,2,11,2,10,1,11,6,10,1,11,1,11,1,11,2,10,1,11,1,11,1,11,1,11,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,1996,6,11,6,11,11,11,11,11,5,10,8,11,11,11,11,6,11,5,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,11,1,2,1,11,1,5,1,11,1,2,1,10,1,2,1,6,1,4,1,10,1,2,1,11,1,2,1,11,1,4,1,11,1,2,1,11,1,2,1,7,1,3,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,1468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,3,1,1,1,2,4,1,1,2,3,1,4,9,11,9,11,9,11,4,11,4,11,4,11,10,11,9,11,9,11,6,11,4,11,2,11,10,11,10,11,10,11,7,11,4,11,9,11,6,11,9,11,10,11,5,11,6,11,3,11
95,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1,11,11,1,1,1,1,3,1,1,1,1,1,4,1,10,11,10,11,10,11,10,11,6,11,7,11,10,11,10,11,10,10,7,11,7,11,8,11,9,11,10,11,10,1,8,11,3,11,10,11,7,11,10,1,10,11,8,11,8,11,8,11
96,3008,11,10,10,11,11,11,11,11,11,11,11,10,11,11,11,1,11,11,1,1,1,1,1,1,1,1,1,1,1,1,2,10,2,11,1,9,1,11,2,10,1,11,2,11,1,11,1,10,1,11,1,9,1,11,2,10,2,11,2,11,1,11,1,11,1,11,1,9,2,11,1,8,1,11,1,11,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,2716,11,11,11,11,11,11,11,11,11,11,11,11,11,1,11,11,11,11,10,10,11,1,1,1,1,1,1,10,1,10,5,11,6,11,1,10,1,11,1,10,11,11,2,11,7,11,2,10,1,11,1,11,1,11,10,10,10,11,10,11,1,11,5,11,1,11,10,10,1,11,10,11,10,11,4,5,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,1460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1,10,1,1,10,1,1,1,1,1,10,9,8,11,7,11,9,11,3,11,1,11,6,11,10,11,6,11,5,11,1,11,8,11,10,11,6,11,8,11,10,11,1,11,4,11,7,11,1,11,10,11,9,11,10,11,6,11,5,11
99,1486,11,11,11,11,11,11,11,11,11,11,1,11,11,11,11,11,11,11,4,5,1,1,1,1,5,1,5,1,1,1,9,11,9,11,8,11,1,11,1,11,1,11,1,11,2,11,1,11,1,11,3,11,1,11,9,11,9,11,9,11,1,11,3,11,7,11,1,11,1,11,1,11,1,11,3,11,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,11,10,11,10,11,10,11,10,1,10,11,10,11,10,11,10,11,10,11,10,11,10,11,10,11,10,11,10,11,10,11,10,11,10,11,10,11,10,11,10,11,10,11,10,11,10,11
101,3248,11,11,11,11,11,2,11,11,11,11,11,11,11,7,11,11,11,11,2,2,2,2,2,9,2,2,2,2,2,7,2,11,2,11,8,11,3,11,2,11,2,11,2,11,1,11,2,11,2,8,2,11,2,11,2,11,2,4,2,11,2,11,2,11,2,11,2,3,2,11,3,5,3,11,2,11,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,1267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1,1,1,1,1,1,1,1,1,1,1,1,7,11,7,11,7,11,3,11,2,11,2,11,7,11,7,11,7,11,2,11,2,11,2,11,7,11,7,11,7,11,2,11,2,11,7,11,2,11,7,11,7,11,2,11,2,11,5,11
103,1057,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2,2,2,3,2,2,2,3,2,4,3,3,10,11,9,11,10,11,7,11,6,11,7,11,8,11,9,11,9,11,7,11,6,11,6,11,10,11,9,11,8,11,6,11,8,11,7,11,10,11,9,11,9,11,8,11,7,11,6,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,1268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,9,9,8,8,9,9,10,8,8,9,9,9,9,11,9,11,9,11,8,11,9,11,9,11,8,11,9,11,9,11,9,11,8,11,9,11,9,11,9,11,9,11,9,11,8,11,9,11,9,11,9,11,9,11,8,11,8,11,8,11
105,1776,8,11,5,8,9,9,8,11,7,8,8,7,8,11,8,7,8,7,1,1,1,1,1,1,1,1,1,1,1,1,10,3,1,7,1,4,1,8,1,3,1,11,1,8,1,9,1,9,1,7,1,8,1,9,1,3,1,11,1,2,10,7,1,4,1,11,1,6,1,7,1,3,1,10,1,7,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,1891,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,4,2,1,4,1,1,2,4,2,5,6,2,9,11,9,11,9,11,6,11,7,11,6,11,9,11,9,2,8,11,7,11,7,11,6,11,9,11,8,11,9,11,7,11,5,11,7,11,8,11,8,11,9,11,7,11,4,11,6,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,1082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,11,10,11,10,11,10,11,10,11,10,11,11,11,10,11,10,11,10,11,10,11,10,11,10,11,10,11,10,11,10,11,10,11,10,11,10,11,10,11,10,11,10,11,10,11,10,11
108,2425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,5,4,6,2,1,2,4,5,4,4,2,5,10,11,9,11,9,11,8,11,7,11,8,11,10,11,10,11,9,11,8,11,5,11,8,11,10,11,9,11,10,11,8,11,2,11,9,11,8,11,10,11,10,11,4,11,6,11,8,11
109,1425,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1,1,1,1,1,1,1,1,1,1,1,1,1,11,1,11,4,6,1,11,1,11,2,11,1,11,1,11,1,11,1,11,1,11,1,11,1,4,1,11,3,4,1,11,1,11,1,11,1,11,1,11,1,11,1,11,1,11,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,3420,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1,1,1,1,1,1,1,1,1,1,1,1,1,11,1,11,3,10,1,11,1,11,1,11,1,9,1,11,2,10,1,11,10,11,1,11,2,11,2,11,2,10,1,11,1,11,1,11,1,11,1,11,1,11,1,11,1,11,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,1063,11,11,11,11,10,11,10,11,10,11,11,11,11,11,11,11,11,11,2,4,1,4,1,3,3,3,4,1,1,1,6,11,9,11,10,10,7,11,6,11,1,11,1,11,1,11,1,11,2,11,3,2,2,11,9,11,10,11,10,11,7,11,4,11,2,11,1,11,1,11,1,11,2,11,2,11,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
